Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
126 E 6th St,Sixth Street Exchange,52,B,Cincinnati,OH,45202,617.00,2.31,"1,428",,,,,,,,2019,,41,,,,Neyer Holdings Corporation,646-648 Main St Suite # 200,"Cincinnati, OH 45202",Tom Neyer,5134212000,Sunset Property - Sixth Street Exchange,5133217000,130 East Sixth Street Llc,,5134212000,126 E 6th St,"Cincinnati, OH 45202    ","1,564",905,,
135 Garfield Pl,The Gramercy on Garfield,148,B,Cincinnati,OH,45202-5724,780.00,1.80,"1,406",,,,,,,8.8,2001,,95,19,,,Towne Properties,1055 Saint Paul Pl Suite # 100,"Cincinnati, OH 45202-6042",Adam Bortz,5133818696,Towne - The Gramercy,5133614082,Cincinnati City Of,,,801 Plum St,"Cincinnati, OH 45202    ","1,393","1,146","1,854",
1301 Walnut St,Columbia Flats,36,C,Cincinnati,OH,45202-7120,714.00,1.77,"1,248",,,,,,,10.0,1880,,28,8,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Adam Gelter,5136214400,McCormack Baron Management,3144211160,Columbia Flats LLC,,,1203 Walnut St,"Cincinnati, OH 45202-7153","1,114",,"1,678",
127-129 E Clifton Ave,,20,C,Cincinnati,OH,45202-8957,570.00,0.70,399,,,,,,,97.9,1890,,6,14,,,Historic Limited Liability Company,2575 Queen City Ave,"Cincinnati, OH 45238    ",,5136628804,Historic Limited Liability Company,5136628804,Historic Limited Liability Company,,5136628804,2575 Queen City Ave,"Cincinnati, OH 45238    ",336,,425,
17-19 E Court St,,10,B,Cincinnati,OH,45202-1130,,,,1900000,,"$190,000.00",Cushman & Wakefield,5134214884,Donald Murphy,4.3,1880,,,,,,QC PROPERTIES LTD,P.O.Box 46314,"Cincinnati, OH 45246",Christopher Jones,5132588549,QC PROPERTIES LTD,5132588549,QC PROPERTIES LTD,Christopher Jones,5132588549,P.O.Box 46314,"Cincinnati, OH 45246",,,,
111 Garfield Pl,Garfield Tower Apartments,160,B,Cincinnati,OH,45202-1946,639.00,1.57,"1,005",,,,,,,2.4,1969,,108,3,,,CMC Properties,10925 Reed Hartman Hwy Suite # 200,"Blue Ash, OH 45242-2836",James Cohen,5139843030,CMC - Garfield Tower,5136210031,"Lakeshore Garfield, LLC",,,10925 Reed Hartman Hwy Suite # 200,"Blue Ash, OH 45242-2836","1,008",961,"1,250",
1227 Jackson St,Jackson Lofts,25,C,Cincinnati,OH,45202-7130,925.00,,,,,,,,,4.3,1906,,,25,,,Urban Sites Properties,1209 Sycamore St,"Cincinnati, OH 45202-7320",,5136216246,Urban Sites Properties,5136216246,Jackson Street Interests Llc,,,1209 Sycamore St,"Cincinnati, OH 45202-7320",,,,
630 Vine St,The Provident,161,B,Cincinnati,OH,45202-2425,541.00,2.06,"1,114",,,,,,,1.6,2020,,75,9,,,Tegethoff Gerald W & Mary Ann,617 Pike Rd,"Sarver, PA 16055    ",,7242954417,Tegethoff - The Provident,5135994245,HG Pearl Provident llc,,,630 Vine St,"Cincinnati, OH 45202-2425","1,196",960,"1,700",
550 E 4th St,550 Apartments,22,B,Cincinnati,OH,45202-3316,"2,006.00",1.57,"3,160",,,,,,,48.6,,,8,11,3,,Eagle Realty Group,421 E Fourth St,"Cincinnati, OH 45202-3306",Charles Thomas,5133617700,Eagle - 550 Apartments,5132414002,Fourth & Pike Apartments Llc,,,421 E 4th St,"Cincinnati, OH 45202","2,376",,"3,429","4,160"
322 W 4th St,Lombardy Flats,54,C,Cincinnati,OH,45202-2619,766.00,1.52,"1,165",,,,,,,1.6,,,39,14,,,The Loring Group,9916 Carver Rd Suite # 103,"Cincinnati, OH 45242-5546",Scott Davis,5139529600,Uptown - The Lombardy,5132417272,Brianna Manns,,,,,"1,001",846,"1,635",
327-331 W 4th St,Kinsey Flats,15,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,2009,,,,,Tier One Asset Management,331 W 4th St Suite # A,"Cincinnati, OH 45202-2605",Dion Pangallo,5134901110,,,Kinsey Flats Llc,,5136467081,331 4th St,"Cincinnati, OH 45202",,,,
330 W 4th St,The Biltmore,28,C,Cincinnati,OH,45202-2680,"1,144.00",1.24,"1,415",,,,,,,,1881,,16,12,,,The Loring Group,9916 Carver Rd Suite # 103,"Cincinnati, OH 45242-5546",Scott Davis,5139529600,Uptown - The Biltmore,5132417272,330 W Fourth Street Llc,,,4279 Delhi Ave,"Cincinnati, OH 45238    ",998,,"1,900",
338-344 W 4th St,,21,C,Cincinnati,OH,45202-2603,692.00,,,,,,,,,4.3,1870,,21,,,,The Loring Group,9916 Carver Rd Suite # 103,"Cincinnati, OH 45242-5546",Scott Davis,5139529600,"4th Street Management, LLC",5132277280,Sinton Flats LLC,,5136183688,4760 Paddock Rd,"Cincinnati, OH 45229-1004",,,,
340-344 W 4th St,Sinton Flats,15,C,Cincinnati,OH,45202-5608,643.00,1.70,"1,091",,,,,,,,1900,,15,,,,The Loring Group,9916 Carver Rd Suite # 103,"Cincinnati, OH 45242-5546",Scott Davis,5139529600,Uptown - Sinton Flats,5132417272,2154 & 2156 Sinton Llc,,,846 Crossings Dr,"Crescent Springs, KY 41017-1460","1,088",,,
348 W 4th St,The Wells Building,18,C,Cincinnati,OH,45202-2639,790.00,1.40,"1,108",,,,,,,,1876,,12,6,,,The Loring Group,9916 Carver Rd Suite # 103,"Cincinnati, OH 45242-5546",Scott Davis,5139529600,Uptown - Wells Flats,5132417272,4ac Newco Llc,,,348 W 4th St,"Cincinnati, OH 45202-2639","1,005",,"1,309",
22 W 7th St,Lancaster Apartments,14,B,Cincinnati,OH,45202,839.00,1.49,"1,250",,,,,,,4.3,1898,,14,,,,Lancaster Apt Llc,10901 Reed Hartman Hwy Suite # 316,"Blue Ash, OH 45242-2831",Gabe Shepherd,,22 W 7th St - Gabe Shepherd,,Lancaster Apt Llc,,,10901 Reed Hartman Hwy Suite # 316,"Blue Ash, OH 45242-2831","1,200",,,
317 E 8th St,East 8 Lofts,53,C,Cincinnati,OH,45202,907.00,1.65,"1,498",,,,,,,12.9,1999,,40,6,,,North American Properties,212 E Third St Suite # 300,"Cincinnati, OH 45202-5500",Tom Williams,5137212744,NAP -  East 8 Lofts,5136215638,East 8 Ltd,,,212 3rd St,"Cincinnati, OH 45202    ","1,460","1,223","1,959",
225 W 9th St,,8,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Tollbridge Developer Ltd,4279 Delhi Ave,"Cincinnati, OH 45238    ",,,,,Tollbridge Developer Ltd,,,4279 Delhi Ave,"Cincinnati, OH 45238    ",,,,
118-120 E 12th St,,8,C,Cincinnati,OH,45202-7230,,,,,,,,,,4.3,,,,,,,Clay Street Homes Llc,2170 Gilbert Ave,"Cincinnati, OH 45206    ",,8594665743,,,Clay Street Homes Llc,,8594665743,2170 Gilbert Ave,"Cincinnati, OH 45206    ",,,,
408 E 12th St,,6,F,Cincinnati,OH,45202-7448,817.00,,,,,,,,,2.2,,,1,1,1,2,Broadway Square Ii Llc,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,8594665743,Brickstone Properties,5134216999,Broadway Square Ii Llc,,8594665743,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
420 E 12th St,,140,C,Cincinnati,OH,45202-7460,"1,227.00",,,,,,,,,3.3,1860,,35,35,35,35,"Mercy Housing, Inc.",1600 Broadway Suite # 2000,"Denver, CO 80202-4927",Kate Peterson,3038303300,Mercy Housing - 420 E 12th St,5136516457,,,,,,,,,
24-30 W 12th St,Harkavy Hall,30,C,Cincinnati,OH,45202-7228,,,,,,,,,,3.3,,,,,,,Tender Mercies Inc,27 West 12th St,"Cincinnati, OH 45202",Russell Winters,5137218666,Tender Mercies- Harkavy Hall,5136397402,Harkavy Hall Llc,,,27 12th St,"Cincinnati, OH 45202    ",,,,
218 W 12th St,Senate Apartments,36,C,Cincinnati,OH,45202-7541,,,,,,,,,,3.3,1910,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,The Community Builders,5134126004,Azeotropic Partners LLC,,9312477493,1014 Vine St Suite # 1420,"Cincinnati, OH 45202-1141",,,,
28 E 13th St,,6,C,Cincinnati,OH,45202-5863,,,,,,,,,,4.3,,,,,,,City Center Properties,1431 Main St,"Cincinnati, OH 45202-6339",Chris Frutkin,5132211222,,,28 East Thirteenth Street Llc,,,1418 Main St,"Cincinnati, OH 45202    ",,,,
33-35 E 13th St,The Stafford,11,C,Cincinnati,OH,45202-7157,600.00,,,,,,,,,4.3,1930,2017,11,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Tyler Zurick,5136214400,Model Group - The Stafford,5135590048,Jackson Street Warehouse Ltd,,,1227 Jackson St,"Cincinnati, OH 45202    ",,,,
124 E 13th St,,6,C,Cincinnati,OH,45202-6300,,,,,,,,,,4.3,1900,,,,,,Commons On Main,1826 Race St,"Cincinnati, OH 45202-7720",Melissa Clayton,5136516457,,,Commons On Main,,,1999 Broadway,"Denver, CO 80202-3025",,,,
309 E 13th St,Sycamore Sq. Apartments,14,C,Cincinnati,OH,45202,400.00,,,,,,,,,4.3,1870,,,,,,Christopher David Longwell,3431 Azalea Ave,"Canton, OH 44701",Christopher Longwell,3307546554,309 E 13th St,5135328324,Invictus Realty 13th Street Ll,,,11353 Reed Hartman Hwy,"Blue Ash, OH 45241-2443",,,,
409-415 E 13th St,,17,C,Cincinnati,OH,45202-7426,,,,,,,,,,4.3,1860,,,,,,Pendleton Housing Partners Lp,,,,,,,Pendleton Housing Partners Lp,,,,,,,,
423-425 E 13th St,,6,C,Cincinnati,OH,45202-7459,,,,,,,,,,4.3,,,,,,,423 EAST 13TH STREET LLC,P.O.Box 12679,"Cincinnati, OH 45212",Matt Kotlarczyk,5137310153,,,,,,,,,,,
31 W 13th St,,17,C,Cincinnati,OH,45202-5804,,,,,,,,,,3.3,,,,,,,Poah Washington Park Llc,,,,,,,Poah Washington Park Llc,,,,,,,,
316-318 E 14th St,,6,C,Cincinnati,OH,45202-7335,,,,,,,,,,4.3,,,,,,,City Homes LLC,318 E 14th St,"cincinnati, OH 45202",Carolyn Jones,5134779725,,,,,,,,,,,
9-13 W 15th St,,9,C,Cincinnati,OH,45202,823.00,,,,,,,,,4.3,1900,,5,4,,,Angela J White,13 W 15th St,"Cincinnati, OH 45202-7014",,,9-13 W 15th St,,Angela J White,,,13 W 15th St,"Cincinnati, OH 45202-7014",,,,
13 W 15th St,,9,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Lingo Mark,9227 Manchester Rd,"Saint Louis, MO 63144",,3149656161,,,,,,,,,,,
131 W 15th St,,6,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,2017,,,,,Christopher P & Ashley L Herman,131 W 15th St,"Cincinnati, OH 45202-6926",Ashley Herman,4804665414,,,Ashley Herman,,,,,,,,
11-25 Back St,,33,C,Cincinnati,OH,45202-6453,,,,,,,,,,3.3,1860,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",Steve Smith,5135590048,Brickstone Properties,5134216999,Pendleton Estates,,,2170 Gilbert Ave,"Cincinnati, OH 45206    ",,,,
553 Boal St,,10,C,Cincinnati,OH,45202-6827,,,,,,,,,,4.3,1895,,,,,,WMC Group LLC,411 Oak St Suite # 3rd fl,"Cincinnati, OH 45219    ",,5135698376,Symphony Property Management,5135698376,Eber Development Llc,,,411 Oak St,"Cincinnati, OH 45219-2504",,,,
555-559 Boal St,,6,C,Cincinnati,OH,45202-6801,,,,,,,,,,4.3,,,,,,,Eber Development,255 E 5th St,"Cincinnati, OH 45202-4704",,,,,Eber Development,,,255 E 5th St,"Cincinnati, OH 45202-4704",,,,
1123 Broadway,,6,C,Cincinnati,OH,45202-7379,,,,,,,,,,4.3,,,6,,,,WMC Group LLC,411 Oak St Suite # 3rd fl,"Cincinnati, OH 45219    ",,5135698376,Symphony Property Management,5135698376,Southern Properties Llc,,,411 Oak St,"Cincinnati, OH 45219",,,,
1201-1203 Broadway,,8,C,Cincinnati,OH,45202,,,673,,,,,,,4.3,1885,,1,2,4,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Nassau Avenue Investments Llc,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",471,367,636,737
1211 Broadway,,6,C,Cincinnati,OH,45202,,,590,,,,,,,4.3,1884,,3,1,2,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Nassau Avenue Investments Llc,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",472,,635,737
405 Broadway St,Edgar,113,B,Cincinnati,OH,45202-3336,446.00,2.14,955,,,,,,,,1920,1960,75,,,,Rookwood Properties,8160 Corporate Park Dr Suite # 220,"Montgomery, OH 45242-3311",,5134696580,Rookwood - Edgar,5136214100,Edgar Investors Llc,,,,,"1,014",805,,
813 Broadway St,Eight One Three,16,B,Cincinnati,OH,45202-1335,,,,,,,,,,4.3,2018,,16,,,,Christopher T Tassone,813 Broadway St,"Cincinnati, OH 45202-1335",,5136775679,,,Christopher T Tassone,,5136775679,813 Broadway St,"Cincinnati, OH 45202-1335",,,,
1206 Broadway St,,44,C,Cincinnati,OH,45202-7341,786.00,1.25,981,,,,,,,,2014,,30,14,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Model - Broadway Square,5134216999,Broadway Square I Llc,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",978,,981,
1218 Broadway St,,6,C,Cincinnati,OH,45202,758.00,,,,,,,,,1.4,,,2,1,1,1,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Lincoln Stargate LP,,,2170 Gilbert Ave Suite # 100,"Cincinnati, OH 45206    ",,,,
1316-1318 Broadway St,Cutter Apartments,40,F,Cincinnati,OH,45202-7382,825.00,1.04,860,,,,,,,6.4,1900,,12,9,6,,Wallick Communities,160 W Main St Suite # 200,"New Albany, OH 43054-9292",Tom Feusse,6148634640,Wallick - Cutter Apartments,5132414504,Mt Auburn Housing Inc,,,2026 Eleanor Pl,"Cincinnati, OH 45219    ",769,686,"1,037","1,129"
1071 Celestial St,Highland Towers,108,B,Cincinnati,OH,45202-1689,977.00,1.48,"1,450",,,,,,,,1963,,29,49,,,Rookwood/Highland Tower Investments,1071 Celestial St,"Cincinnati, OH 45202    ",Joseph Rippee,5137215088,Nisbet - Highland Towers,5132412121,Rookwood Highland Tower,,,1071 Celestial St,"Cincinnati, OH 45202    ","1,549",785,"1,799",
619 Central Ave,Page Tower,169,B,Cincinnati,OH,45202-2350,474.00,1.70,806,,,,,,,2.3,1971,,143,26,,,City of Cincinnati,801 Plum St Suite # 352,"Cincinnati, OH 45202-1927",City Cincinnati,5133523243,Nelson & Associates- Page Tower,5135798384,City of Cincinnati Planning and Buildings,,5133524845,801 Plum St Suite # 122,"Cincinnati, OH 45202",772,,975,
100 E Central Pky,Emery Center Apartments,58,C,Cincinnati,OH,45202-7240,"1,091.00",1.55,"1,686",,,,,,,,1911,,21,17,,,"Neyer/Columbia Square, LLC",10151 Carver Rd Suite # 100,"Cincinnati, OH 45242-4758",Al Neyer,5132716400,City Center - Emery Center Apartments,5136511999,STNL Development,,5134385150,8170 Corporate Park Suite # 100,"Cincinnati, OH 45242    ","1,463","1,401","2,287",
547 Channing St,,6,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1901,,3,1,2,,Jennifer Cevasco,,,,,547 Channing St,,Jennifer Cevasco,,,,,,,,
210 Charles St,,6,C,Cincinnati,OH,45202-7540,,,,,,,,,,4.3,,,,,,,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",,5136214400,,,Otr Holdings Inc,,6144427637,1203 Walnut St Suite # 4,"Cincinnati, OH 45202-7153",,,,
1204 Clay St,,9,C,Cincinnati,OH,45202-7606,,,595,,,,,,,4.3,1855,,,9,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Clay Street Homes Llc,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,595,
1207 Clay St,,10,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1880,,10,,,,The Daughters of St Elias,123 E 13th St,"Cincinnati, OH 45202-7638",Jon Paul Bevak,3307552613,,,Society Of St Philip Neri Inc,,,123 E 13th St,"Cincinnati, OH 45202",,,,
1209 Clay St,,9,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1880,,9,,,,Jon P. Bevak,123 E 13th St,"Cincinnati, OH 45202-7638",Jon Bevak,5135492634,,,BSG2 LLC,,,1209 Sycamore St,"Cincinnati, OH 45202-7320",,,,
1317 Clay St,,6,C,Cincinnati,OH,45202-7659,,,,,,,,,,4.3,,,,,,,Western & Southern Life,400 Broadway,"Cincinnati, OH 45202-3312",,8773679734,,,Otr Housing Associates,,,400 Broadway St,"Cincinnati, OH 45202-3312",,,,
1326 Clay St,,15,C,Cincinnati,OH,45202-7608,,,,,,,,,,,1885,,2,7,6,,,,,,,,,,,,,,,,,
1400 Clay St,,36,C,Cincinnati,OH,45202-7670,,,,,,,,,,4.3,1900,,,,,,"Wade, Werner, Thompson & Co.",119 E Court St Suite # 407,"Cincinnati, OH 45202-1203",Martin Wade,5136325322,Brickstone Properties,5134216999,WDC LLC,,5137949492,119 E Court St,"Cincinnati, OH 45202-1203",,,,
51 E Clifton Ave,,6,F,Cincinnati,OH,45202-8983,,,,,,,,,,4.3,1890,,,,,,ANDANTE HOUSING LLC,61 E Clifton Ave,"Cincinnati, OH 45202",John Wulsin,5132628431,,,Jennifer Scheiderer,,,49 E Clifton Ave,"Cincinnati, OH 45202-8901",,,,
100 E Clifton Ave,Rhine View Apartments,17,C,Cincinnati,OH,45202,"1,127.00",1.26,"1,422",,,,,,,17.7,1900,,6,11,,,Michel & Nyoka Paul,2783 Sutton Pl,"Doylestown, PA 18902-6628",Michel Paul,2157947409,Towne - Rhine View Apartments,5136511661,Nyoka Paul,,,,,946,,"1,677",
103 E Clifton Ave,,21,C,Cincinnati,OH,45202-6533,679.00,0.73,494,,,,,,,95.2,1900,,12,3,6,,Robert Haber,2880 Winthrop Rd,"Shaker Heights, OH 44120",Robert Haber,2169389001,Robert Haber,2169389001,Clifton Ave 103 LLC,,,44 Park Pl,"Brooklyn, NY 11217",414,,725,525
108 E Clifton Ave,,6,C,Cincinnati,OH,45202-8956,,,,,,,,,,4.3,,,,,,,Over The Rhine Community Housing,114 W 14th St,"Cincinnati, OH 45202",,5133811171,,,Sharp Village Annex Llc,,,114 W 14th St,"Cincinnati, OH 45202",,,,
139 E Clifton Ave,,20,C,Cincinnati,OH,45202,568.00,0.81,459,,,,,,,62.3,1870,,10,1,2,,Robert Haber,2880 Winthrop Rd,"Shaker Heights, OH 44120",,2169389001,Robert Haber,2169389001,Clifton Ave 139 Llc,,,852 Cypress Ave,"Ridgewood, NY 11385",435,356,522,871
150 E Clifton Ave,,6,C,Cincinnati,OH,45202,699.00,,,,,,,,,96.2,1900,,6,,,,Robert Haber,2880 Winthrop Rd,"Shaker Heights, OH 44120",Robert Haber,2169389001,Robert Haber,2169389001,"Clifton Ave 150, LLC",,,44 Park Pl,"Brooklyn, NY 11217",,,,
212-214 E Clifton Ave,East Apartments,9,C,Cincinnati,OH,45202-8943,,,471,,,,,,,9.6,1871,,5,3,1,,"Downtown Property Management, Inc.",1416-1418 Central Pky,"Cincinnati, OH 45202-7533",Dharma Ramineni,5136654376,"Downtown Property Management, Inc.",5136654376,"Downtown Property Management, Inc.",,5136654376,1416-1418 Central Pky,"Cincinnati, OH 45202-7533",392,,509,728
19-27 W Clifton Ave,,17,C,Cincinnati,OH,45202-4976,,,809,,,,,,,9.4,1879,,3,7,7,,Paramount Omega LLC,PO Box 20575,"Piedmont, CA 94620    ",Geza Polony,5104219055,,,"Paramount Omega, LLC",,,P.O.Box 20575,"Piedmont, CA 94620    ",601,,779,918
102 W Clifton Ave,,7,C,Cincinnati,OH,45202-4963,"1,243.00",,,,,,,,,4.3,1887,,2,4,,,Tallarigo Properties,P.O.Box 7641,"Tahoe City, CA 96145",Ben Tallarigo,5134774111,,,Tallarigo Benjamin,,,3517 Cornell Pl,"Cincinnati, OH 45220",,,,
427-435 Collins Ave,,10,C,Cincinnati,OH,45202,,,710,,,,,,,3.7,1942,,5,4,1,,James White,435 Collins Ave,"Cincinnati, OH 45202",,5132907150,,,Genest & White Ltd,,5133610533,2352 Ohio Ave,"Cincinnati, OH 45219    ",619,,742,"1,016"
7-9 W Court St,Court View,18,C,Cincinnati,OH,45202-1094,,,,,,,,,,4.3,,,,,,,Renee Frankel,923 Oregon Trl,"Cincinnati, OH 45215    ",,5137619754,,,One One Actual Llc,,,7 W Court St,"Cincinnati, OH 45202    ",,,,
1915 Eastern Ave,,6,C,Cincinnati,OH,45202-1711,,,,,,,,,,,1880,,,6,,,,,,,,,,,,,,,,,,
204 W Eighth St,The Waldo,43,C,Cincinnati,OH,45202,850.00,1.39,"1,178",,,,,,,,1892,2007,13,21,,,AJ & S Limited Partnership,1614 Chase Ave,"Cincinnati, OH 45223    ",Constance Wilson,5133654670,"Cats Management, LLC.",5133835579,AJ & S Limited Partnership,,5133654670,1614 Chase Ave,"Cincinnati, OH 45223    ",949,749,"1,502",
210 W Eighth St,,10,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Alfred Carrington Inc,,,,,,,Alfred Carrington Inc,,,,,,,,
6 W Elder St,,7,C,Cincinnati,OH,45202,"1,136.00",0.67,761,,,,,,,,1890,,1,1,4,1,Cincinnati Center City Development Corp,1203 Walnut St,"Cincinnati, OH 45202-7153",Adam Gelter,5136214400,,,OTR Holdings Inc,,5139545484,255 E 5th St Suite # 1900,"Cincinnati, OH 45202-4700",371,,640,872
110 W Elder St,,6,C,Cincinnati,OH,45202-5902,,,,,,,,,,4.3,,,,,,,Wirtz Matthew A,1718 Pleasant St,"Cincinnati, OH 45202",,,,,Wirtz Matthew A,,,1718 Pleasant St,"Cincinnati, OH 45202",,,,
924 Elm St,,12,C,Cincinnati,OH,45202,,,,,,,,,,4.3,,,,,,,Loveland Crossing Llc,914 Elm St,"Cincinnati, OH 45202    ",,,,,Loveland Crossing Llc,,,914 Elm St,"Cincinnati, OH 45202    ",,,,
1008-1010 Elm St,,6,C,Cincinnati,OH,45202-1019,,,,,,,,,,4.3,1870,,,,,,Michael D Peterson,1010 Elm St,"Cincinnati, OH 45202    ",,,,,Michael D Peterson,,,1010 Elm St,"Cincinnati, OH 45202    ",,,,
1105-1111 Elm St,,65,C,Cincinnati,OH,45202-7513,,,,,,,,,,3.0,1917,2016,35,30,,,YMCA,101 N Wacker Dr Suite # 1600,"Chicago, IL 60606-1784",,8008729622,Central Parkway YMCA,5133814193,Young Mens Christian,,,1105 Elm St,"Cincinnati, OH 45202-7513",,,,
1420 Elm St,,7,C,Cincinnati,OH,45202-7566,,,,,,,,,,4.3,,,,,,,Wais W Brian,5459 Firethorn Ct,"Cincinnati, OH 45242",,5138289497,,,Anju Manocha,,,,,,,,
1433 Elm St,,7,C,Cincinnati,OH,45202-7548,,,,,,,,,,4.3,,,,,,,Matthew D Rosen,1349 Broadway St,"Cincinnati, OH 45202",Matthew Rosen,6143706928,,,Shelter House Volunteer,,,1433 Elm St,"Cincinnati, OH 45202",,,,
1500 Elm St,,17,C,Cincinnati,OH,45202,,,,,,,,,,4.3,1900,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,,,Elm St Senior Housing Ltd,,,114 14th,"Cincinnati, OH 45202",,,,
1514-1516 Elm St,The Fulda,8,C,Cincinnati,OH,45202-6971,700.00,,,,,,,,,,,,4,,,,Board of Trustees - OTRCH,112-114 W 14th St,"Cincinnati, OH 45202-7506",Roger Auer,5133811171,Board of Trustees - OTRCH,5133811171,RACE STREET TENANT ORGANIZATION COOPERATIVE,,,,,,,,
1700 Elm St,,6,C,Cincinnati,OH,45202-6982,,,,,,,,,,3.3,,,,,,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Otr Revitalization,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
1702 Elm St,,6,C,Cincinnati,OH,45202-9606,880.00,,,,,,,,,4.3,,,1,1,2,,"The Model Group, Inc.",1826 Race St Suite # 100,"Cincinnati, OH 45202-7720",,5135590048,Brickstone Properties,5134216999,Fairview Estates Limited Partn,,,2170 Gilbert Ave,"Cincinnati, OH 45206-3042",,,,
1712 Elm St,,7,C,Cincinnati,OH,45202-6911,,,,,,,,,,4.3,,,,,,,Valerie J Johnson,1712 Elm St,"Cincinnati, OH 45202",Valerie Johnson,5132362685,,,Johnson Valerie,,,1712 Elm St,"Cincinnati, OH 45202",,,,
